년도,시도,화재건수,재산피해,재산피해(천원)
2023,전국,56,"522,793",522793
2023,서울,7,"9,538",9538
2023,부산,4,"1,241",1241
2023,대구,5,"4,697",4697
2023,인천,6,"9,990",9990
2023,광주,3,"2,544",2544
2023,대전,0,0,0
2023,울산,1,660,660
2023,세종,0,0,0
2023,경기,19,"468,085",468085
2023,강원,1,"2,750",2750
2023,충북,0,0,0
2023,충남,1,"1,094",1094
2023,전북,0,0,0
2023,전남,4,"12,415",12415
2023,경북,1,"2,502",2502
2023,경남,4,"7,277",7277
2023,제주,0,0,0
2024,전국,60,"364,529",364529
2024,서울,8,"65,854",65854
2024,부산,7,"21,966",21966
2024,대구,0,0,0
2024,인천,2,"3,280",3280
2024,광주,2,"1,510",1510
2024,대전,1,"14,183",14183
2024,울산,1,35,35
2024,세종,0,0,0
2024,경기,22,"74,826",74826
2024,강원,4,665,665
2024,충북,2,"16,160",16160
2024,충남,3,"87,450",87450
2024,전북,1,"3,400",3400
2024,전남,4,"69,850",69850
2024,경북,1,"1,050",1050
2024,경남,2,"4,300",4300
2024,제주,0,0,0
