화재발생년원일,시도_x,시군구,화재유형,발화요인대분류,발화요인소분류,인명피해(명)소계,사망,부상,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류,날짜,월_화재,시도_매핑,시도_y,연도,월,최고기온,최저기온,평균기온,강수량(mm),최대풍속(km/h),평균습도(%),기온일교차
2020-01-29 12:04:00,대구광역시,달서구,"건축,구조물",전기적 요인,"누전,지락",0,0,0,910,0.0,910.0,산업시설,발전시설,변전소,2020-01-29,1,대구,대구,2020,1,10.5,1.3,5.4,0.2,11.9,73,9.2
2020-02-19 06:47:00,서울특별시,송파구,기타(쓰레기 화재등),교통사고,교통사고,0,0,0,29276,0.0,29276.0,기타,도로,변압기,2020-02-19,2,서울,서울,2020,2,6.7,-5.7,-0.7,0.0,10.8,69,12.4
2020-04-29 06:51:00,대구광역시,북구,기타(쓰레기 화재등),미상,미상,0,0,0,4004,0.0,4004.0,기타,도로,변압기,2020-04-29,4,대구,대구,2020,4,25.0,6.7,16.6,0.0,12.5,41,18.3
2020-05-11 11:13:00,강원특별자치도,삼척시,"건축,구조물",전기적 요인,기타(전기적요인),0,0,0,52525,0.0,52525.0,산업시설,발전시설,"송, 배전설비",2020-05-11,5,강원,강원,2020,5,20.5,10.8,15.3,0.3,22.9,66,9.7
2020-05-19 14:43:00,서울특별시,영등포구,기타(쓰레기 화재등),전기적 요인,미확인단락,0,0,0,2883,0.0,2883.0,기타,도로,변압기,2020-05-19,5,서울,서울,2020,5,15.6,9.4,12.4,7.7,24.7,77,6.199999999999999
2020-06-25 03:51:00,부산광역시,동구,기타(쓰레기 화재등),전기적 요인,트래킹에 의한 단락,0,0,0,0,,,기타,도로,변압기,2020-06-25,6,부산,부산,2020,6,23.0,21.5,22.2,32.3,17.6,96,1.5
2020-08-03 06:13:00,충청북도,진천군,"건축,구조물",자연적인 요인,자연적 재해,0,0,0,95482,95482.0,0.0,산업시설,발전시설,변전소,2020-08-03,8,충북,충북,2020,8,28.0,25.1,26.3,10.6,22.5,88,2.8999999999999986
2020-09-01 09:45:00,부산광역시,강서구,"건축,구조물",기계적 요인,"과열, 과부하",0,0,0,9,0.0,9.0,산업시설,발전시설,변전소,2020-09-01,9,부산,부산,2020,9,28.6,23.9,26.0,0.7,22.5,81,4.700000000000003
2020-09-02 19:02:00,울산광역시,남구,기타(쓰레기 화재등),전기적 요인,트래킹에 의한 단락,0,0,0,122,0.0,122.0,기타,도로,변압기,2020-09-02,9,울산,울산,2020,9,27.8,24.7,26.2,23.4,40.4,88,3.1000000000000014
2020-09-10 21:35:00,울산광역시,남구,기타(쓰레기 화재등),전기적 요인,과부하/과전류,0,0,0,61,0.0,61.0,기타,도로,변압기,2020-09-10,9,울산,울산,2020,9,25.0,19.1,22.1,3.7,10.7,87,5.899999999999999
2020-10-23 09:01:00,서울특별시,강북구,"건축,구조물",부주의,담배꽁초,0,0,0,114,114.0,0.0,산업시설,발전시설,변전소,2020-10-23,10,서울,서울,2020,10,11.4,4.1,7.4,0.0,21.1,53,7.300000000000001
2020-11-06 12:24:00,강원특별자치도,홍천군,기타(쓰레기 화재등),전기적 요인,미확인단락,0,0,0,47,0.0,47.0,기타,도로,변압기,2020-11-06,11,강원,강원,2020,11,16.0,6.5,11.0,0.0,12.6,70,9.5
2020-11-17 13:36:00,경기도,이천시,"건축,구조물",전기적 요인,절연열화에 의한 단락,0,0,0,770,0.0,770.0,산업시설,발전시설,변전소,2020-11-17,11,경기,경기,2020,11,19.0,9.9,13.6,1.0,13.7,80,9.1
