시도,날짜,연도,월,최고기온,최저기온,평균기온,강수량(mm),최대풍속(km/h),평균습도(%),기온일교차
서울,2020-01-01,2020,1,1.1,-6.8,-3.1,0.0,8.2,65,7.9
서울,2020-01-02,2020,1,3.8,-4.2,-0.5,0.0,14.4,76,8.0
서울,2020-01-03,2020,1,3.9,-5.3,-1.8,0.0,11.8,72,9.2
서울,2020-01-04,2020,1,5.6,-4.0,-0.6,0.0,15.4,61,9.6
서울,2020-01-05,2020,1,5.1,-5.3,-0.8,0.0,9.2,54,10.399999999999999
서울,2020-01-06,2020,1,3.1,-2.7,0.7,2.1,16.0,69,5.800000000000001
서울,2020-01-07,2020,1,6.8,2.8,4.9,46.4,22.6,92,4.0
서울,2020-01-08,2020,1,7.1,-2.8,2.5,10.9,29.8,87,9.899999999999999
서울,2020-01-09,2020,1,1.7,-6.2,-2.9,0.0,16.4,73,7.9
서울,2020-01-10,2020,1,3.2,-6.1,-2.6,0.0,10.0,73,9.3
서울,2020-01-11,2020,1,2.8,-5.4,-1.5,0.0,13.0,73,8.2
서울,2020-01-12,2020,1,1.6,-6.1,-2.4,0.0,14.6,69,7.699999999999999
서울,2020-01-13,2020,1,-0.7,-6.3,-4.1,0.0,18.7,63,5.6
서울,2020-01-14,2020,1,1.8,-6.4,-3.7,0.0,9.8,59,8.200000000000001
서울,2020-01-15,2020,1,1.2,-7.6,-4.0,0.0,13.1,61,8.799999999999999
서울,2020-01-16,2020,1,2.7,-6.3,-3.5,0.0,11.4,52,9.0
서울,2020-01-17,2020,1,4.3,-5.8,-2.3,0.0,9.6,51,10.1
서울,2020-01-18,2020,1,4.7,-4.9,-1.7,0.0,12.6,60,9.600000000000001
서울,2020-01-19,2020,1,5.3,-3.8,-0.2,0.4,25.6,77,9.1
서울,2020-01-20,2020,1,4.4,-4.6,-0.5,0.0,23.9,65,9.0
서울,2020-01-21,2020,1,2.5,-6.8,-3.0,0.0,9.4,56,9.3
서울,2020-01-22,2020,1,6.2,-2.3,1.0,0.0,9.5,63,8.5
서울,2020-01-23,2020,1,8.6,-1.2,2.5,0.0,14.8,68,9.799999999999999
서울,2020-01-24,2020,1,6.9,-4.3,0.8,0.0,9.1,81,11.2
서울,2020-01-25,2020,1,8.6,-2.8,2.1,0.0,11.8,78,11.399999999999999
서울,2020-01-26,2020,1,10.2,-3.6,2.9,0.0,22.7,69,13.799999999999999
서울,2020-01-27,2020,1,6.4,2.8,4.3,3.0,26.8,68,3.6000000000000005
서울,2020-01-28,2020,1,8.8,2.4,4.8,0.8,14.9,74,6.4
서울,2020-01-29,2020,1,8.5,-1.9,3.4,0.0,10.7,71,10.4
서울,2020-01-30,2020,1,6.8,-1.7,2.8,0.3,8.9,74,8.5
서울,2020-01-31,2020,1,7.1,-1.6,1.6,0.0,16.5,80,8.7
서울,2020-02-01,2020,2,5.9,-4.6,0.3,0.0,13.3,82,10.5
서울,2020-02-02,2020,2,3.5,-5.2,-0.8,0.0,10.9,68,8.7
서울,2020-02-03,2020,2,1.8,-5.3,-2.1,0.0,19.3,56,7.1
서울,2020-02-04,2020,2,3.4,-6.5,-2.2,1.0,22.6,61,9.9
